titulo,categoría,url video,canal
Urbílogo - Bogotá dominguera,Entretenimiento,https://www.youtube.com/watch?v=2SNMqfo8COo,Señal Colombia
Historias en bici - Sibaté pedalea su pasado,Deportes,https://www.youtube.com/watch?v=ooEcRqrIyF8,Señal Deportes
Today in replay 18 de febrero,Deportes,https://www.youtube.com/watch?v=jzNsXnuQpDU,Señal Deportes
"Documentales: 'Camilo, el cura guerrillero' - Hoy martes 12 de mayo 8:00 p.m. #SeñalParaPensar",Película y Animación,https://www.youtube.com/watch?v=2vFrMJlP9OY,Señal Colombia
"En cine nos vemos - Cuchillo de palo - Renate Costa, 2010",Película y Animación,https://www.youtube.com/watch?v=VCtHtjphNOY,Señal Colombia
Los Pepa - Clip 62 - Máscara de carnaval,Educación,https://www.youtube.com/watch?v=XPUZd5OXpc8,Mi Señal
Saludo de Miguel Ángel López,Deportes,https://www.youtube.com/watch?v=YP0KeFc1-xo,Señal Deportes
Todo lo que vemos - 259 - Televidente - Óscar Augusto Ferreira,Película y Animación,https://www.youtube.com/watch?v=wieibtFym1g,Señal Colombia
"¡Nairo Quintana, ya esta viajando a Francia!",Deportes,https://www.youtube.com/watch?v=rtZjPMTaVKI,Señal Deportes
Sillón Hip Hop,Entretenimiento,https://www.youtube.com/watch?v=9rXXUZIWZyQ,Señal Colombia
"Concurso Nacional de Bandas de Paipa, Boyacá (Desfile completo)",Música,https://www.youtube.com/watch?v=uo-BFUc2BiE,Señal Colombia
El Tour de Francia con Nairo Quintana,Deportes,https://www.youtube.com/watch?v=wtfRO42pUZQ,Señal Deportes
Sub 30 Originalidad - Sillón,Entretenimiento,https://www.youtube.com/watch?v=l2p0YWbhZU0,Señal Colombia
#PedaleoPor: Ariel Molina envía un saludo a los escarabajos,Deportes,https://www.youtube.com/watch?v=uEmnCE37RZI,Señal Deportes
"Frank Ramírez, un ícono de la TV en Colombia",Película y Animación,https://www.youtube.com/watch?v=IALJX6njL1I,Señal Colombia
Todo lo que vemos - 66 - Preguntas Frecuentes - Operador de video,Educación,https://www.youtube.com/watch?v=7EGHGaLtYYU,Señal Colombia
"Puesto 2, La gente de la universal - La gran escuesta del cine colombiano",Película y Animación,https://www.youtube.com/watch?v=eRjCgMFIGhc,Señal Colombia
JAIME ECHAVARRIA ACCESO DIRECTO,Entretenimiento,https://www.youtube.com/watch?v=beuNBJVFsRA,Señal Colombia
Todo lo que vemos - 372 - Glosario,Entretenimiento,https://www.youtube.com/watch?v=3OAXTuJeP2I,Señal Colombia
Todo lo que vemos - 204 - Glosario - Horario familiar,Entretenimiento,https://www.youtube.com/watch?v=OH8nprAvo4g,Señal Colombia
Mariana Pajón llega a los Juegos Nacionales 2015 - Jueves 19 y viernes 20 de noviembre,Deportes,https://www.youtube.com/watch?v=m-b811scHvQ,Señal Deportes
Juegos Paranacionales - Juan Pablo Castellanos,Deportes,https://www.youtube.com/watch?v=HQQEtldCYZI,Señal Deportes
"En cine nos vemos - Edificio Master - Eduardo Coutinho, 2002",Película y Animación,https://www.youtube.com/watch?v=t3ArB6Bg-9E,Señal Colombia
Los argentinos se toman el metro de Río,Deportes,https://www.youtube.com/watch?v=uqHy-RMSCZA,Señal Deportes
Para ver TV - Magazin,Entretenimiento,https://www.youtube.com/watch?v=aC3jRx8FTfk,Señal Colombia
